Timeline,Start time,Duration,Row,Instance number,#0 LaBaron Philon,#1 Mark Sears,#10 Mo Dioubate,#11 Cliff Omoruyi,#15 Jarin Stevenson,#2 Aden Holloway,#22 Aiden Sherrell,#23 Max Scharnowski,#3 Latrell Wrightsell Jr,#3 Latrell Wrightsell Jr.,#35 Derrion Reid,#4 Grant Nelson,2FG (Defenders),2FG (Dribble),2FG (Feet),2FG (Hands),2FG (Other),2FG (PA),2FG (RA),2FG (Type),2FG Scheme (Attack),2FG Scheme (Drive),2FG Scheme (Pass),3FG (Contest),3FG (Footwork),3FG (Good/Bad),3FG (Line),3FG (Move),3FG (Pocket),3FG (Shrink),3FG (Type),3FG Scheme (Attack),3FG Scheme (Drive),3FG Scheme (Pass),3s GIVEN UP,ATR GIVEN UP,Assist (Defenders),Assist (Feet),Assist (Hand),Assist (Jump),Assist (Paint),Assist Type,BUMPS,GAME,GAME SPLITS,OPP STATS,PAINT TOUCHES,PLAYCALL,PLAYER POSSESSIONS,POSITION,POSSESSION START,POSSESSION TYPE,READ,SERIES,SHOT CLOCK,SHOT CLOCK PT,Shot Location,Shot Possession Type,TEAM,TEAM DEFENSE,TERM,TO (Defenders),TO (Feet),TO (Hand),TO (Jump),TO (Paint),TO LB/DB,TO Scheme,TO Scheme (Attack),TO Scheme (Drive),TO Scheme (Non-Pass),TO Scheme (Pass),TO Type,Ungrouped,Ungrouped,Notes,Flags
24_11_04 ALABAMA VS UNC ASHEVILLE,1168.065515672,19.303816559000097,DEF Note,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,1190.283271698,5.076878582000063,DEF Note,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,1473.350358726,24.387185444000124,DEF Note,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,1561.639498633,34.64409248700008,DEF Note,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,1609.057821632,20.73428604700007,DEF Note,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,1650.527893009,32.61553935300003,DEF Note,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,1737.225391313,27.15305069300007,DEF Note,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,1819.190849045,25.102179909999904,DEF Note,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,1856.273782579,16.321065836000116,DEF Note,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,1875.059447451,9.147849241999893,DEF Note,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 12:00 - 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2155.233040081,18.031525441999747,DEF Note,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2240.969184291,7.438044217999959,DEF Note,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2255.335266235,24.548634484000104,DEF Note,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2282.494317218,29.749327485999856,DEF Note,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2376.881234123,19.639679618000173,DEF Note,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2406.598874383,17.034288731000288,DEF Note,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2438.125594908,13.822146463000081,DEF Note,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2512.449674173,7.057579709000038,DEF Note,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2598.208473794,17.205095149000044,DEF Note,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2681.390501745,11.65413231599996,DEF Note,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2708.626753241,9.487444396999763,DEF Note,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,2726.93964244,26.277390160999857,DEF Note,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 8:00 - 4:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,3005.141693193,30.98409590700021,DEF Note,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,3121.180206844,34.170436680999956,DEF Note,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,3164.024817011,7.880255585000214,DEF Note,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,3225.724615832,34.62300353399996,DEF Note,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,3388.308790809,17.541997994999747,DEF Note,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,3406.806856943,11.384652113999891,DEF Note,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,3419.498382475,17.242375839000033,DEF Note,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_04 ALABAMA VS UNC ASHEVILLE,3468.732135424,7.260277027000029,DEF Note,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs UNC Asheville, REPORT","1st Half, 4:00 - 0:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
